,WeatherStation,InitialN,SoilCategory,Texture,Rocks,SampleDepth,PMN,Splits,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorFieldYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentFieldYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingFieldYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
Vegetative_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,EarlyReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,MidReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,LateReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Maturity_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Late_Seed,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seed,2024-02-04 00:00:00,Late,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
Vegetative_Seedling,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seedling,2024-02-04 00:00:00,Vegetative,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
EarlyReproductive_Seedling,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seedling,2024-02-04 00:00:00,EarlyReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
MidReproductive_Seedling,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seedling,2024-02-04 00:00:00,MidReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
LateReproductive_Seedling,lincoln,500,Sedimentary,Silt loam,0,0-30cm,50,3,Typical,Very Dry,Full,TestResidue05,13,0,0,13,2022-09-27 00:00:00,Seed,2023-03-25 00:00:00,Maturity,None removed,Full (Plough),Wheat Grain Feed,10,0,0,14,2023-04-10 00:00:00,Seedling,2024-02-04 00:00:00,LateReproductive,None removed,Full (Plough),Oat Fodder General,0,0,0,0,2024-03-04 00:00:00,Seed,2024-04-05 00:00:00,EarlyReproductive,None removed,Full (Plough)
