Year,DOY,MeanT,Rain,MeanPET
2019,1,23.35,0.0,6.2
2019,2,19.05,0.0,6.3
2019,3,21.8,0.0,6.7
2019,4,21.45,0.0,6.8
2019,5,18.75,0.0,6.2
2019,6,17.0,0.0,5.6
2019,7,19.35,0.0,6.3
2019,8,21.450000000000003,4.4,3.1
2019,9,21.05,0.0,5.9
2019,10,20.05,0.0,5.6
2019,11,23.9,0.0,6.8
2019,12,23.65,0.6,8.0
2019,13,19.549999999999997,0.0,3.4
2019,14,20.9,2.4,6.2
2019,15,17.6,13.0,1.8
2019,16,19.25,31.4,3.3
2019,17,18.700000000000003,15.8,2.9
2019,18,20.4,0.0,5.5
2019,19,19.55,0.0,4.8
2019,20,22.049999999999997,0.0,5.7
2019,21,20.35,0.0,6.9
2019,22,18.8,0.0,6.8
2019,23,17.85,0.0,5.9
2019,24,22.2,0.2,7.3
2019,25,15.799999999999999,0.0,2.1
2019,26,16.25,0.0,5.4
2019,27,18.8,0.0,5.3
2019,28,22.65,0.0,6.2
2019,29,24.35,0.0,5.9
2019,30,23.45,0.0,5.6
2019,31,21.15,0.0,6.3
2019,32,22.049999999999997,0.0,5.5
2019,33,23.65,0.2,6.6
2019,34,15.399999999999999,0.0,1.8
2019,35,17.450000000000003,0.0,5.3
2019,36,18.15,0.0,5.2
2019,37,21.65,0.0,6.0
2019,38,16.35,0.8,0.6
2019,39,17.15,0.0,3.5
2019,40,16.5,0.0,5.1
2019,41,19.2,0.0,5.4
2019,42,20.35,3.0,5.1
2019,43,18.5,4.0,3.4
2019,44,19.05,0.0,4.4
2019,45,20.8,0.0,5.4
2019,46,20.25,0.0,4.9
2019,47,21.05,0.0,5.0
2019,48,17.2,0.0,5.7
2019,49,16.9,0.0,4.3
2019,50,19.2,0.0,5.2
2019,51,18.45,0.0,4.8
2019,52,21.85,0.0,5.3
2019,53,23.5,0.0,5.0
2019,54,22.7,6.0,3.3
2019,55,16.75,0.0,1.6
2019,56,16.45,29.6,3.8
2019,57,12.600000000000001,3.0,2.4
2019,58,14.0,0.0,4.3
2019,59,19.9,0.0,4.5
2019,60,12.75,0.0,4.5
2019,61,14.55,0.0,4.1
2019,62,12.799999999999999,0.0,2.4
2019,63,15.95,0.0,3.9
2019,64,14.75,0.0,3.8
2019,65,16.8,0.0,4.4
2019,66,16.05,0.0,3.7
2019,67,22.25,0.0,4.4
2019,68,17.85,7.0,2.4
2019,69,18.65,4.8,3.6
2019,70,18.700000000000003,0.0,2.9
