Year,DOY,MeanT,Rain,MeanPET
2019,1,18.85,1.8,1.6
2019,2,22.1,0.8,6.3
2019,3,20.4,0.0,2.8
2019,4,18.3,0.0,3.5
2019,5,17.05,0.0,5.6
2019,6,20.6,0.0,5.4
2019,7,20.85,0.0,3.9
2019,8,18.8,0.0,3.6
2019,9,17.9,0.0,5.3
2019,10,22.5,0.2,5.8
2019,11,20.95,0.0,2.8
2019,12,17.9,0.0,5.5
2019,13,20.85,0.0,5.9
2019,14,18.95,14.8,4.5
2019,15,17.7,2.8,3.6
2019,16,19.0,2.0,5.5
2019,17,18.5,0.0,5.0
2019,18,20.8,0.0,4.4
2019,19,21.0,0.2,5.1
2019,20,20.15,0.8,3.4
2019,21,19.4,0.0,7.6
2019,22,16.450000000000003,0.0,5.0
2019,23,18.95,0.0,5.8
2019,24,17.450000000000003,1.0,4.8
2019,25,15.3,0.0,4.0
2019,26,18.5,0.0,5.1
2019,27,18.6,1.2,3.2
2019,28,19.1,13.4,1.5
2019,29,19.4,2.2,1.1
2019,30,25.75,0.2,6.2
2019,31,20.6,0.0,3.5
2019,32,22.25,0.0,5.4
2019,33,19.45,3.8,4.3
2019,34,18.35,0.2,4.0
2019,35,19.9,0.0,5.9
2019,36,20.95,0.0,4.5
2019,37,20.4,0.0,5.5
2019,38,13.4,0.0,1.3
2019,39,16.6,0.0,4.9
2019,40,16.65,0.0,5.0
2019,41,17.85,0.0,5.1
2019,42,19.25,0.0,5.1
2019,43,18.75,0.0,5.2
2019,44,20.45,0.6,3.7
2019,45,19.55,0.0,4.2
2019,46,21.9,0.4,5.1
2019,47,18.7,1.0,4.1
2019,48,16.65,0.0,4.9
2019,49,19.7,0.0,5.0
2019,50,17.75,0.0,3.6
2019,51,19.8,0.0,4.0
2019,52,18.1,0.0,2.0
2019,53,20.65,13.2,1.9
2019,54,19.0,12.0,1.4
2019,55,17.1,9.0,3.6
2019,56,12.7,5.0,1.0
2019,57,11.95,0.0,4.5
2019,58,15.1,0.0,3.6
2019,59,15.149999999999999,0.0,3.4
2019,60,11.5,0.0,4.3
2019,61,12.5,0.0,3.6
2019,62,14.700000000000001,0.0,3.8
2019,63,14.75,0.0,3.4
2019,64,17.5,0.0,2.1
2019,65,18.75,0.0,3.5
2019,66,19.450000000000003,0.6,2.6
2019,67,19.85,1.4,4.0
2019,68,17.5,12.0,1.7
2019,69,16.4,0.0,2.9
2019,70,18.15,0.0,3.0
2019,71,19.65,0.0,2.5
2019,72,19.95,8.6,2.3
2019,73,19.8,1.6,1.2
2019,74,18.9,1.8,1.2
2019,75,20.75,0.0,2.8
2019,76,18.6,0.0,3.2
2019,77,17.5,0.0,3.5
2019,78,17.95,0.0,3.3
2019,79,19.65,0.0,3.4
2019,80,17.2,0.0,3.2
2019,81,18.0,0.0,3.4
2019,82,17.9,0.0,3.0
2019,83,17.85,0.0,2.7
2019,84,19.25,0.4,1.9
2019,85,20.3,0.0,3.0
2019,86,19.85,0.6,2.1
2019,87,16.55,9.0,1.9
2019,88,17.5,0.0,3.0
2019,89,19.3,0.0,2.8
2019,90,18.9,0.0,3.7
2019,91,21.25,0.2,3.3
2019,92,15.75,13.6,1.2
2019,93,12.4,0.0,2.2
2019,94,11.7,0.0,2.2
2019,95,13.100000000000001,0.0,2.0
2019,96,14.5,0.0,2.1
2019,97,8.7,0.4,2.0
2019,98,13.75,11.2,1.4
2019,99,12.25,0.2,1.7
2019,100,16.0,5.0,1.5
2019,101,17.5,0.0,1.9
2019,102,14.75,12.2,1.4
2019,103,12.100000000000001,0.0,2.5
2019,104,8.950000000000001,0.0,2.2
2019,105,12.0,0.0,1.8
2019,106,10.8,0.0,1.9
2019,107,10.5,0.0,1.4
2019,108,9.65,0.0,1.4
2019,109,9.3,0.0,1.2
2019,110,12.200000000000001,0.0,1.5
2019,111,15.0,0.0,1.0
2019,112,13.95,7.2,0.7
2019,113,14.8,0.6,0.8
2019,114,14.7,0.0,1.6
2019,115,13.2,0.0,1.2
2019,116,15.9,0.0,1.4
2019,117,17.5,0.0,1.5
2019,118,17.200000000000003,3.4,2.0
2019,119,15.149999999999999,19.6,1.4
2019,120,11.7,7.8,1.1
2019,121,9.3,0.0,1.6
2019,122,9.25,0.0,1.0
2019,123,12.05,0.0,1.0
2019,124,12.15,0.0,1.1
2019,125,13.5,0.0,1.0
2019,126,12.85,0.0,0.6
2019,127,10.55,0.0,0.7
2019,128,13.600000000000001,0.0,0.9
2019,129,15.2,0.0,0.9
2019,130,17.5,3.8,1.5
2019,131,16.55,3.6,1.1
2019,132,14.4,0.2,0.8
2019,133,16.1,28.4,1.1
2019,134,10.55,0.0,1.4
2019,135,13.9,6.0,1.6
2019,136,15.5,0.0,1.7
2019,137,11.65,0.0,1.9
2019,138,10.2,0.8,1.0
2019,139,13.85,0.0,0.9
2019,140,12.45,0.0,1.2
2019,141,13.95,0.0,0.8
2019,142,12.8,4.0,0.9
2019,143,12.75,5.2,0.6
2019,144,14.649999999999999,1.0,0.9
2019,145,12.5,0.8,0.9
2019,146,13.350000000000001,0.4,0.6
2019,147,14.5,0.0,0.8
2019,148,15.0,0.4,1.0
2019,149,15.5,3.2,1.7
2019,150,13.700000000000001,0.2,1.4
2019,151,15.100000000000001,20.4,0.7
2019,152,12.25,25.8,0.9
2019,153,10.25,18.4,1.8
2019,154,5.8999999999999995,0.0,1.0
2019,155,8.8,0.4,1.0
2019,156,12.45,6.6,0.0
2019,157,7.3,15.0,0.4
2019,158,9.2,2.4,1.0
2019,159,8.1,0.0,0.8
2019,160,9.25,0.0,0.6
2019,161,10.25,0.0,0.9
2019,162,12.850000000000001,4.0,0.2
2019,163,13.1,1.0,0.4
2019,164,13.35,6.6,0.6
2019,165,12.25,1.6,0.2
2019,166,14.85,0.8,0.6
2019,167,10.45,5.0,0.3
2019,168,11.7,0.2,0.9
2019,169,7.8500000000000005,0.0,1.0
2019,170,5.699999999999999,0.0,0.6
2019,171,5.05,0.0,0.4
2019,172,8.65,1.0,0.7
2019,173,10.65,0.2,0.0
2019,174,9.4,0.0,0.5
2019,175,7.5,6.6,0.2
2019,176,8.05,0.0,0.5
2019,177,6.5,0.0,0.5
2019,178,5.85,0.0,0.5
2019,179,5.8,0.2,0.4
2019,180,6.7,0.0,0.5
2019,181,8.7,0.8,0.2
2019,182,8.049999999999999,0.0,0.4
2019,183,9.0,0.0,0.4
2019,184,12.4,0.2,0.6
2019,185,14.9,20.0,0.4
2019,186,10.7,4.4,0.2
2019,187,9.4,0.8,1.4
2019,188,7.15,0.0,0.6
2019,189,8.45,0.6,0.5
2019,190,11.3,0.0,0.5
2019,191,11.3,2.2,0.6
2019,192,11.9,2.6,0.7
2019,193,12.2,1.4,0.7
2019,194,14.05,5.0,1.1
2019,195,13.45,12.4,0.6
2019,196,11.1,19.6,0.3
2019,197,10.76896551724138,2.853333333333333,0.5551724137931034
2019,198,11.95,9.8,0.4
2019,199,8.2,0.0,1.4
2019,200,10.3,2.8,0.4
2019,201,13.25,3.0,1.0
2019,202,11.55,21.0,0.6
2019,203,8.45,5.6,0.4
2019,204,8.4,0.2,0.7
2019,205,8.6,0.0,0.6
2019,206,10.6,0.0,0.9
2019,207,11.0,0.0,0.8
2019,208,12.6,0.0,0.9
2019,209,13.1,0.0,0.7
2019,210,9.2,0.0,0.9
2019,211,11.600000000000001,0.4,1.0
2019,212,11.3,13.2,0.6
2019,213,8.415,3.8733333333333335,0.9
2019,214,5.6499999999999995,0.0,0.8
2019,215,9.4,1.8,0.3
2019,216,10.45,0.6,2.0
2019,217,8.5,2.2,0.9
2019,218,7.35,0.0,1.4
2019,219,9.4,0.0,1.2
2019,220,11.35,1.0,0.9
2019,221,12.1,21.4,0.9
2019,222,10.0,0.0,0.9
2019,223,11.100000000000001,20.4,0.7
2019,224,11.3,16.6,0.3
2019,225,7.35,2.4466666666666668,0.4
2019,226,9.55,0.2,1.0
2019,227,7.4,0.0,1.1
2019,228,10.85,0.0,1.0
2019,229,11.75,1.0,1.7
2019,230,7.9,36.2,0.3
2019,231,5.1,0.0,1.4
2019,232,6.85,0.0,1.2
2019,233,11.8,4.4,1.4
2019,234,11.15,8.6,1.2
