,WeatherStation,InitialN,SoilOrder,SampleDepth,BulkDensity,PMNtype,PMN,Trigger,Efficiency,Splits,AWC,PrePlantRain,InCropRain,Irrigation,PriorCropNameFull,PriorSaleableYield,PriorFieldLoss,PriorDressingLoss,PriorMoistureContent,PriorEstablishDate,PriorEstablishStage,PriorHarvestDate,PriorHarvestStage,PriorResidueRemoval,PriorResidueIncorporation,CurrentCropNameFull,CurrentSaleableYield,CurrentFieldLoss,CurrentDressingLoss,CurrentMoistureContent,CurrentEstablishDate,CurrentEstablishStage,CurrentHarvestDate,CurrentHarvestStage,CurrentResidueRemoval,CurrentResidueIncorporation,FollowingCropNameFull,FollowingSaleableYield,FollowingFieldLoss,FollowingDressingLoss,FollowingMoistureContent,FollowingEstablishDate,FollowingEstablishStage,FollowingHarvestDate,FollowingHarvestStage,FollowingResidueRemoval,FollowingResidueIncorporation
VeryWet_None,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Very Wet,Very Wet,None,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Wet_None,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Wet,Wet,None,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Typical_None,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,None,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Dry_None,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Dry,Dry,None,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
VeryDry_None,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Very Dry,Very Dry,None,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
VeryWet_Some,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Very Wet,Very Wet,Some,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Wet_Some,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Wet,Wet,Some,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Typical_Some,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Typical,Typical,Some,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
Dry_Some,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Dry,Dry,Some,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
VeryDry_Some,ashburton,50,Immature Pallic,0-30cm,1.31,PMN,50,30,80,3,148,Very Dry,Very Dry,Some,TestResidue05,13,0,0,13,2022-04-01 00:00:00,Seed,2022-08-15 00:00:00,Maturity,None removed,Full (Plough),TestResidue45,8,0,0,15,2022-10-15 00:00:00,Seed,2023-04-15 00:00:00,Maturity,None removed,Full (Plough),Oat Fodder General,10,0,0,0,2023-05-01 00:00:00,Seed,2023-10-01 00:00:00,EarlyReproductive,None removed,Full (Plough)
